Name,SpeakerName,SpeakerColor,DialogueText,VoiceAudio,DisplayDuration
Radio_Gate_Arrival,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Gate_Arrival_SpeakerName"", ""모듈 관리관 세라"")","(R=0.900000,G=0.600000,B=1.000000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission"", ""Radio_Gate_Arrival_DialogueText"", ""화물 적재 구역 진입 확인. 장벽은 우리 통제 상태가 아닙니다. 외부에서 잠겼습니다."")",None,4
Radio_Gate_Encounter,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Gate_Encounter_SpeakerName"", ""모듈 관리관 세라"")","(R=0.900000,G=0.600000,B=1.000000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission"", ""Radio_Gate_Encounter_DialogueText"", ""적 반응 셋. 교전 대형이 아군 전술 교범과 일치합니다. 순차로 들어옵니다."")",None,4
Radio_Gate_Clear,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Gate_Clear_SpeakerName"", ""기갑 장교 발렌"")","(R=0.200000,G=0.800000,B=1.000000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Gate_Clear_DialogueText"", ""화물 구역 확보. 다음은 동력 반응로다. 세라, 외부 신호를 추적해."")",None,4
Radio_System_Alert,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_System_Alert_SpeakerName"", ""기갑 장교 발렌"")","(R=0.200000,G=0.800000,B=1.000000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_System_Alert_DialogueText"", ""궤도 엘리베이터 하부가 균열에 잠식됐다. 저곳이 막히면 지상 보급도 끊긴다. 화물 구역을 뚫고 반응로를 확보해."")",None,4
Radio_MidBrief,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_MidBrief_SpeakerName"", ""모듈 관리관 세라"")","(R=0.900000,G=0.600000,B=1.000000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission"", ""Radio_MidBrief_DialogueText"", ""반응로 온도 상승. 오염체들이 파괴하는 것이 아니라 재점화하고 있습니다. 세 차례만 버텨 주십시오."")",None,4
Radio_Boss_Approach,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Boss_Approach_SpeakerName"", ""모듈 관리관 세라"")","(R=0.900000,G=0.600000,B=1.000000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission"", ""Radio_Boss_Approach_DialogueText"", ""대형 기체 확인. 식별 번호는 실종 명단의 호위 기체와 일치합니다. 계승자와 같은 날 사라진 기체입니다."")",None,4
Radio_Boss_Clear,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Boss_Clear_SpeakerName"", ""모듈 관리관 세라"")","(R=0.900000,G=0.600000,B=1.000000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission"", ""Radio_Boss_Clear_DialogueText"", ""기체 정지. 전투 로그는 지워졌지만 마지막 호위 대상 식별자가 남아 있습니다… 계승자, 당신입니다."")",None,4
Radio_Dungeon_Complete,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Dungeon_Complete_SpeakerName"", ""기갑 장교 발렌"")","(R=0.200000,G=0.800000,B=1.000000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Dungeon_Complete_DialogueText"", ""궤도 접근로 확보. 현장에서 회수한 식별 기록은 봉인한다. 복귀 즉시 내게 직접 보고해."")",None,4
Radio_Base_Welcome,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Base_Welcome_SpeakerName"", ""관제 AI 아르케"")","(R=1.000000,G=0.850000,B=0.000000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Base_Welcome_DialogueText"", ""귀환자 식별 완료. 외골격 동기율 71퍼센트. 마지막 정상 기록 이후 21일간의 전투 로그가 없습니다. 교육 조교 탈에게 복귀를 신고하십시오."")",None,5
Radio_Depot_Arrive,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Depot_Arrive_SpeakerName"", ""교육 조교 탈"")","(R=0.550000,G=0.900000,B=0.600000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Depot_Arrive_DialogueText"", ""아래를 봐. 네가 실종된 날엔 저기까지 우리 방어선이었다. 3주 만에 이 초소 앞까지 밀렸지. 콜에게 현재 상황을 확인해."")",None,4.5
