Name,Title,Type,Status,Summary,Description,Objectives,Reward,RewardText,Icon,PrereqQuestId,NextQuestId,QuestGiverNPC,bAutoClaim
Q_Welcome,귀환 보급,Main,InProgress,병참 기지에서 귀환 보급을 수령한다.,전선 복귀를 앞둔 계승자에게 지급되는 기본 보급. 별도 조건 없이 병참 창구에서 즉시 수령할 수 있다.,(),"(Credits=500,Items=((RowId=""Cons_Repair_01"",Count=2)))",크레딧 500 · 나노 수리킷 ×2,,,,,False
Q_Mobility,기동 규격 확보,Side,InProgress,질풍 모듈을 확보해 기동 규격을 맞춘다.,차기 작전은 고속 강습 위주로 편성된다. 상점에서 질풍 모듈을 조달해 외골격 기동 규격을 충족시켜라.,"((Type=""AcquireItem"",TargetId=""Mod_Swift_01"",TargetTag="""",AcceptRadius=3,RequiredCount=1,Label=""질풍 모듈 확보""))","(Credits=1200,Items=())","크레딧 1,200",,,,,False
Q_Endurance,지구력 보강,Side,InProgress,지구력 코어를 조달해 장기 작전에 대비한다.,장기 침투 작전에는 안정적인 에너지 순환이 필수다. 지구력 코어를 확보해 스태미나 규격을 보강하라.,"((Type=""AcquireItem"",TargetId=""Mod_Endure_01"",TargetTag="""",AcceptRadius=3,RequiredCount=1,Label=""지구력 코어 확보""))","(Credits=600,Items=((RowId=""Cons_Repair_01"",Count=3)))",크레딧 600 · 나노 수리킷 ×3,,,,,False
Q_Arsenal,무장 확충,Main,InProgress,공격형 모듈 2종을 확보해 무장을 확충한다.,고강도 교전 구역 투입을 앞두고 화력 규격이 상향됐다. 광폭 회로와 질풍 모듈을 모두 조달해 공격 편성을 완성하라.,"((Type=""AcquireItem"",TargetId=""Mod_Berserk_01"",TargetTag="""",AcceptRadius=3,RequiredCount=1,Label=""광폭 회로 확보""),(Type=""AcquireItem"",TargetId=""Mod_Swift_01"",TargetTag="""",AcceptRadius=3,RequiredCount=1,Label=""질풍 모듈 확보""))","(Credits=2500,Items=())","크레딧 2,500",,,,,False
Q_Fortress,철벽 확보,Side,InProgress,전설급 방어 시스템을 조달한다.,방어 거점 사수 임무에 대비해 최고 등급 방어 규격이 요구된다. 철벽 프로토콜을 확보하라.,"((Type=""AcquireItem"",TargetId=""Mod_Bastion_01"",TargetTag="""",AcceptRadius=3,RequiredCount=1,Label=""철벽 프로토콜 확보""))","(Credits=1500,Items=())","크레딧 1,500",,,,,False
Q_Apex,최종 병기 조달,Main,InProgress,관통자 레일건을 조달해 주무장을 교체한다.,차기 작전의 핵심 표적은 중장갑 유닛이다. 장갑을 무시하는 관통자 레일건을 조달해 주무장 규격을 최상위로 끌어올려라.,"((Type=""AcquireItem"",TargetId=""Wpn_Rail_01"",TargetTag="""",AcceptRadius=3,RequiredCount=1,Label=""관통자 레일건 확보""))","(Credits=3000,Items=((RowId=""Mod_Amp_01"",Count=1)))","크레딧 3,000 · 고출력 증폭기 ×1",,,,,False
Q_FirstSync,각성 프로토콜,Main,Claimed,외골격 동기화를 완료했다.,전선 복귀 전 외골격 재동기화 절차. 이미 완료해 보상을 수령한 과거 임무 기록이다.,(),"(Credits=500,Items=())",크레딧 500,,,,,False
Q_Contamination,오염원 제거,Main,NotStarted,구역의 오염 발생원을 무력화한다. (전투 슬라이스 연동 예정),감염 구역의 핵심 오염 발생원을 추적해 제거하는 전투 임무. 인게임 전투 슬라이스가 붙으면 킬 목표로 활성화된다.,(),"(Credits=4000,Items=((RowId=""Mod_Berserk_01"",Count=1)))","크레딧 4,000 · 광폭 회로 ×1",,,,,False
Quest_Reach,보급창고로 이동,Main,InProgress,표시된 보급창고 지점으로 이동하라.,화면 마커가 가리키는 지점까지 이동하면 완료된다. 거리(m)가 실시간 표시된다. 완료 시 자동 보상 후 다음 임무로 이어진다.,"((Type=""ReachLocation"",TargetId="""",TargetTag=""Location.Quest.Depot"",AcceptRadius=3,RequiredCount=1,Label=""보급창고 도달""))","(Credits=100,Items=())",크레딧 100,,,Quest_Hunt,,True
Quest_Hunt,그런트 소탕,Main,NotStarted,그런트 3기를 처치하라.,선행 임무(보급창고 이동) 완료 후 자동으로 시작된다. 그런트 3기 처치 시 완료.,"((Type=""KillTarget"",TargetId="""",TargetTag=""Enemy.Type.Grunt"",AcceptRadius=3,RequiredCount=3,Label=""그런트 처치""))","(Credits=200,Items=())",크레딧 200,,Quest_Reach,Quest_Talk,,True
Quest_Talk,장교에게 보고,Side,NotStarted,장교 NPC에게 말을 걸어 작전 결과를 보고하라.,선행 임무 완료 후 장교(NPC_Officer)에게 말을 걸면 수락과 동시에 완료되고 보상이 지급된다.,"((Type=""TalkToNPC"",TargetId=""NPC_Officer"",TargetTag="""",AcceptRadius=3,RequiredCount=1,Label=""장교에게 보고""))","(Credits=300,Items=())",크레딧 300,,Quest_Hunt,,NPC_Officer,True
